사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-12,2호선,0234,신도림,"4,549",25,"36,531","5,145","56,286","18,726","141,073","42,265","151,576","106,898","94,640","73,906","69,503","59,001","67,550","62,138","76,570","66,093","78,296","73,042","77,932","71,230","83,424","82,056","93,803","95,809","116,244","121,752","121,342","168,981","70,053","119,237","58,915","77,508","57,880","76,743","54,377","74,729","23,614","55,235","3,165","25,156",147,"3,946",4,103,0,0,2026-01-03 11:12:47
2025-12,2호선,0235,문래,40,1,"4,280","3,151","15,081","12,132","43,872","41,781","52,546","139,609","29,936","66,601","23,145","27,572","22,753","25,988","27,025","28,880","28,522","31,868","30,168","30,810","33,978","33,067","43,604","39,267","73,732","50,785","112,529","68,428","45,157","45,495","34,022","26,358","36,516","22,839","32,275","20,400","16,107","13,038","3,099","4,848",44,345,0,0,0,0,2026-01-03 11:12:47
2025-12,2호선,0236,영등포구청,40,0,"5,293","3,641","13,195","14,798","40,728","42,330","53,848","131,914","33,846","59,640","25,921","32,470","28,188","29,172","31,123","30,536","33,648","33,336","35,251","31,907","39,483","32,845","47,297","37,382","68,539","47,454","107,777","64,145","42,749","43,083","33,476","27,353","31,097","24,695","23,538","22,642","11,414","15,456","2,131","6,082",44,646,0,0,0,0,2026-01-03 11:12:47
2025-12,2호선,0237,당산,35,11,"8,280","3,329","19,239","13,213","47,711","28,307","59,757","78,908","36,155","33,284","27,153","17,876","26,728","17,997","27,268","21,174","26,121","23,125","24,859","23,426","27,104","27,907","32,139","37,816","45,319","53,862","57,940","74,397","26,395","50,858","21,631","37,158","21,245","36,134","18,736","34,019","9,533","22,063","1,941","6,410",30,461,3,14,0,0,2026-01-03 11:12:47
2025-12,2호선,0238,합정,127,3,"11,071","2,960","17,205","13,431","39,516","32,169","51,925","92,321","36,199","86,195","29,681","57,903","33,900","55,023","40,798","60,680","45,006","64,752","49,010","60,281","55,876","64,603","65,837","76,525","86,033","98,390","117,828","122,911","80,769","86,014","70,221","49,542","80,083","39,890","76,158","35,638","41,378","25,865","7,649","9,953",190,966,0,1,0,0,2026-01-03 11:12:47
2025-12,2호선,0239,홍대입구,983,52,"26,016","3,466","30,038","20,449","61,298","42,564","79,983","115,446","63,187","149,497","62,981","126,701","74,098","155,139","89,153","181,742","104,583","201,410","120,115","191,268","150,141","191,483","184,613","201,572","212,303","225,353","231,241","252,786","199,833","185,561","197,663","118,925","220,333","95,982","210,961","79,137","106,267","52,858","14,669","21,251",277,"4,358",4,219,0,0,2026-01-03 11:12:47
2025-12,2호선,0240,신촌,56,6,"7,303","2,885","14,295","14,730","37,384","35,286","54,807","84,552","42,519","91,461","43,510","73,740","52,572","68,309","65,618","73,387","71,462","80,438","73,751","71,120","84,584","71,327","98,146","77,160","110,897","99,676","104,187","120,154","77,029","83,432","81,122","54,485","82,268","47,551","75,374","42,949","36,707","28,493","7,002","8,929",133,"1,123",1,68,0,0,2026-01-03 11:12:47
2025-12,2호선,0241,이대,20,2,"3,174",851,"9,607","7,185","28,206","15,026","40,252","47,695","25,715","41,313","22,124","34,810","25,399","28,385","31,487","33,716","31,517","36,178","30,889","29,745","37,045","32,430","41,361","34,760","50,657","41,101","43,967","51,179","31,310","38,075","24,725","26,285","24,227","25,234","20,905","25,309","8,056","17,338","1,384","5,780",20,634,0,25,0,0,2026-01-03 11:12:47
2025-12,2호선,0242,아현,3,1,"4,602",834,"11,399","4,585","31,745","11,006","46,651","20,468","27,815","14,969","20,468","12,746","19,559","11,802","21,826","13,716","20,235","15,964","18,185","16,645","20,007","19,629","22,834","22,227","23,610","28,367","20,193","36,980","13,287","27,904","9,821","20,326","7,666","19,769","5,679","17,574","2,533","10,335",503,"3,246",9,258,2,16,0,0,2026-01-03 11:12:47
2025-12,2호선,0243,충정로(경기대입구),22,3,"3,116","1,198","6,229","7,638","15,935","25,440","24,194","65,133","16,249","29,069","13,756","14,113","14,424","12,084","14,490","12,455","15,000","14,956","15,142","13,653","16,837","14,677","20,845","16,492","37,464","20,545","47,042","25,051","16,275","16,638","12,366","12,293","11,130","12,507","7,424","10,907","3,681","6,803",888,"2,373",20,266,0,13,0,0,2026-01-03 11:12:47
2025-12,2호선,0244,용답,17,0,"2,470",466,"3,422","1,390","7,627","1,774","14,452","3,004","8,248","3,442","5,922","2,893","5,227","2,905","5,376","3,483","5,525","3,935","4,988","4,367","4,963","5,296","5,968","6,844","5,567","7,669","4,421","11,362","2,562","7,956","1,856","5,891","1,573","6,852","1,230","6,432",568,"4,000",144,"1,357",5,57,0,0,0,0,2026-01-03 11:12:47
2025-12,2호선,0245,신답,6,0,"1,262",77,"2,115",490,"6,628","1,156","12,248","1,645","5,234",948,"2,955","1,166","2,676","1,363","2,673","1,496","2,473","1,673","2,186","2,258","2,097","3,326","2,407","4,498","2,387","5,698","2,091","10,797","1,056","7,383",845,"4,222",560,"4,474",349,"3,581",197,"2,275",40,705,1,18,0,0,0,0,2026-01-03 11:12:47
